,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,kenai,US,1612387925,60.5544,-151.2583,15.8,92,5.75,90
1,new norfolk,AU,1612387927,-42.7826,147.0587,59.0,89,4.0,70
2,hatillo,PR,1612387928,18.4863,-66.8254,82.99,75,1.01,25
3,chernoyerkovskaya,RU,1612387929,45.4331,37.7686,50.0,76,4.47,85
4,leningradskiy,RU,1612387682,69.3833,178.4167,-24.56,84,11.14,65
5,albany,US,1612387178,42.6001,-73.9662,30.99,67,11.01,100
6,lorengau,PG,1612387933,-2.0226,147.2712,81.7,71,1.34,74
7,buala,SB,1612387704,-8.145,159.5921,79.21,84,12.88,100
8,kaitangata,NZ,1612387935,-46.2817,169.8464,54.0,62,10.0,81
9,saint-philippe,RE,1612387685,-21.3585,55.7679,78.8,73,2.3,0
10,saldanha,ZA,1612387688,-33.0117,17.9442,66.2,82,11.5,0
11,hobart,AU,1612387939,-42.8794,147.3294,59.0,94,2.3,90
12,alice springs,AU,1612387701,-23.7,133.8833,77.0,23,8.9,45
13,novikovo,RU,1612387941,51.1537,37.8879,34.47,96,8.66,100
14,victoria,HK,1612387837,22.2855,114.1577,64.0,72,11.72,2
15,meulaboh,ID,1612387944,4.1363,96.1285,76.62,88,4.52,99
16,clyde river,CA,1612387945,70.4692,-68.5914,-20.2,76,2.3,75
17,akyab,MM,1612387946,20.15,92.9,60.84,71,6.08,0
18,castro,BR,1612387947,-24.7911,-50.0119,72.66,82,4.43,50
19,huarmey,PE,1612387750,-10.0681,-78.1522,74.97,64,9.01,77
20,najran,SA,1612387950,17.4924,44.1277,62.6,31,0.94,0
21,tourlaville,FR,1612387951,49.6383,-1.5664,46.99,93,9.22,0
22,isangel,VU,1612387751,-19.55,169.2667,82.4,74,5.75,20
23,suamico,US,1612387953,44.6319,-88.0393,32.0,59,6.91,1
24,punta arenas,CL,1612387954,-53.15,-70.9167,64.4,59,18.41,75
25,torbay,CA,1612387956,47.6666,-52.7314,43.0,100,27.63,75
26,rikitea,PF,1612387957,-23.1203,-134.9692,78.15,69,12.19,0
27,bluff,NZ,1612387678,-46.6,168.3333,53.26,67,15.37,49
28,faanui,PF,1612387959,-16.4833,-151.75,81.77,70,9.78,0
29,bethel,US,1612387960,41.3712,-73.414,33.8,55,12.66,90
30,kondinskoye,RU,1612387962,59.6481,67.41,3.85,93,9.69,0
31,luderitz,NA,1612387692,-26.6481,15.1594,66.42,75,13.11,0
32,busselton,AU,1612387964,-33.65,115.3333,48.99,83,17.9,0
33,saint george,US,1612387889,37.1041,-113.5841,66.99,34,6.91,1
34,betsiamites,CA,1612387967,48.9413,-68.646,32.0,80,9.22,90
35,norman wells,CA,1612387679,65.282,-126.8329,-34.6,67,6.91,75
36,honiara,SB,1612387969,-9.4333,159.95,76.82,85,4.07,100
37,nizwa,OM,1612387970,22.9333,57.5333,55.87,57,3.04,0
38,harper,LR,1612387971,4.375,-7.7169,78.76,88,7.52,8
39,senno,RU,1612387973,59.5336,33.9167,16.7,98,4.29,95
40,upernavik,GL,1612387974,72.7868,-56.1549,-14.55,71,5.35,10
41,yellowknife,CA,1612387975,62.456,-114.3525,-15.0,69,6.91,90
42,bredasdorp,ZA,1612387976,-34.5322,20.0403,59.0,82,4.61,0
43,puerto ayora,EC,1612387977,-0.7393,-90.3518,86.0,66,19.57,0
44,saskylakh,RU,1612387979,71.9167,114.0833,-33.14,79,8.97,56
45,kodiak,US,1612387980,57.79,-152.4072,33.8,80,3.44,1
46,jamestown,US,1612387625,42.097,-79.2353,30.99,69,11.5,1
